date_identified,company,division,signal_type,pe_buyer,likely_buyers,size_estimate,ev_low_usd_m,ev_high_usd_m,sector,geography,complexity,key_quote,buyer_intelligence,notes,confidence,source_url
2026-01-24,Schüco International,3A Composites Mobility,Deal Completed,Hypax,[],Not disclosed,,,Industrials,Europe,Medium,Hypax buys 3A Composites Mobility in carve-out transaction in July 2025.,Hypax acquiring composites/materials business for mobility sector,Lightweight materials for transportation applications,High,https://www.pehub.com/hypax-buys-3a-composites-mobility-in-carve-out-transaction/
2026-01-24,Crane Company,Engineered Materials Business (Crane Composites),Deal Completed,KPS Capital Partners,[],$227M,,,Industrials,US,Medium,KPS Capital Partners to acquire the Engineered Materials Business of Crane Company (Crane Composites) for $227M in December 2024.,"Deal announced Dec 2024, likely closed early 2025",Engineered materials/composites carve-out,High,https://www.kpsfund.com/news/press-releases/2024/12/02/
2026-01-24,Teleflex Incorporated,Medical OEM Business,Definitive Agreement,"Montagu Private Equity, Kohlberg & Company",[],$1.5B,,,Healthcare,US,High,Montagu and Kohlberg announced a definitive agreement to acquire Teleflex Medical OEM from Teleflex Incorporated for $1.5 billion in a carve-out transaction in December 2025.,Two PE firms partnering on carve-out of medical OEM division,Medical device manufacturing carve-out,High,https://www.businesswire.com/news/home/20251208550931/en/
2026-01-24,Albemarle Corporation,Ketjen Corporation,Definitive Agreement,KPS Capital Partners,[],Not disclosed,,,Industrials,Global,Very High,KPS Capital Partners announced it entered into a definitive agreement with Albemarle Corporation to acquire a controlling stake in Ketjen Corporation's refining catalyst solutions business. KPS and Albemarle will own approximately 51% and 49% of Ketjen at close respectively.,"KPS acquiring controlling 51% stake, Albemarle retaining 49%. Transaction expected to close Q1 2026.",Leading global manufacturer of advanced catalyst solutions for crude oil and renewable feedstocks. Expected close Q1 2026.,High,https://www.kpsfund.com/news/press-releases/2025/10/27/
2026-01-24,Invesco,intelliflo,Definitive Agreement,Carlyle Group,[],$135M-$200M,,,Technology,UK,Medium,"Carlyle and Invesco announced an agreement for Carlyle to acquire intelliflo from Invesco. The purchase price is up to $200 million, comprised of $135 million at closing (expected in Q4 2025) and up to $65 million in potential future earn outs.",Carlyle supporting carve-out of cloud-based practice management software for financial advisors. Expected close Q4 2025.,Cloud-based practice management software for financial advisors,High,https://www.carlyle.com/media-room/news-release-archive/
2026-01-24,Altera Infrastructure Group,FPSO Business,Definitive Agreement,Carlyle Group,[],Not disclosed,,,Industrials,Global,Very High,"Carlyle announced it agreed to acquire a diversified FPSO (Floating Production, Storage and Offloading) business from Altera Infrastructure Group, owned by Brookfield Asset Management in September 2025.","Carlyle leveraging strong track record in energy carve-outs (Neptune Energy, Assala Energy, SierraCol). Seller is Brookfield.",FPSO operations - highly complex offshore energy infrastructure,High,https://www.carlyle.com/media-room/news-release-archive/
2026-01-24,Advance Auto Parts,Worldpac,Definitive Agreement,Carlyle Group,[],$1.5B,,,Retail,US,Medium,Carlyle Group announced it is to acquire Advance Auto Parts Inc.'s Worldpac unit for $1.5bn.,Carlyle has invested around $13bn in industrial carve outs over the past two decades,Auto parts distribution carve-out,High,https://www.financierworldwide.com/carlyle-group-to-acquire-worldpac-unit-for-15bn
2026-01-24,Sanofi,Opella,Definitive Agreement,Clayton Dubilier & Rice,[],Not disclosed,,,Healthcare,Europe,Very High,"In February 2025, CD&R agreed to acquire a 50% stake in Opella from Sanofi. This represents a carve-out of Sanofi's consumer healthcare business.",CD&R acquiring 50% stake in Sanofi's consumer healthcare division. Anticipated closing Q2 2025 at earliest.,Consumer healthcare carve-out from major pharma,High,https://www.cdr.com/news/
2026-01-24,Xylem Inc,International Smart Meter Division,Definitive Agreement,AURELIUS,[],$250M revenue,,,Industrials,Global,High,"AURELIUS entered into a definitive agreement to acquire Xylem Inc.'s international smart meter division in October 2025, which generated approximately $250m in revenues in 2024 and employs more than 800 people.",AURELIUS specializing in carve-outs of non-core divisions,Smart meter manufacturing and technology division,High,https://www.aurelius-group.com/
2026-01-24,The Boeing Company,Digital Aviation Solutions Business,Definitive Agreement,Thoma Bravo,[],$10.55B,,,Technology,US,Very High,The largest private equity carve-out announced so far in 2025 is Thoma Bravo LP's proposed $10.55 billion acquisition of portions of the digital aviation solutions business of US airplane manufacturer The Boeing Co.,Largest PE carve-out of 2025. Thoma Bravo specializes in software/tech carve-outs,Massive digital aviation software carve-out - largest deal of year,High,https://www.spglobal.com/market-intelligence/
2026-01-24,Brookfield (seller),Fosber,Definitive Agreement,Brookfield,[],$900M,,,Industrials,Europe,High,Brookfield to buy Fosber in $900m carve-out in December 2025. Fosber designs and manufactures high-speed corrugating machinery.,Brookfield acquiring Fosber - need to identify seller,Corrugating machinery manufacturer - seller not clearly identified in search results,Medium,https://www.pehub.com/brookfield-to-buy-fosber-in-900m-carve-out/
2026-01-24,Stago,,PE In Talks,ARCHIMED,"['ARCHIMED', 'La Caisse']",Not disclosed,,,Healthcare,Global,High,"Stago, a global leader in diagnostics and hemostasis specialist, entered exclusive negotiations with ARCHIMED-led consortium to acquire a majority stake in the group in December 2025.",ARCHIMED acquiring majority stake. La Caisse investing as minority investor. Expected close Q2 2026.,Diagnostics and hemostasis specialist. Exclusive negotiations entered Dec 2025.,High,https://www.goodwinlaw.com/en/news-and-events/news/2025/12/announcements-privateequity-hltc-stago-enters-into-exclusive
2026-01-24,Kereis,,PE In Talks,Advent International,['Advent International'],Not disclosed,,,Financial Services,Europe,High,"Advent, a leading global private equity investor, entered exclusive negotiations to acquire Kereis from Bridgepoint in May 2025.",Advent acquiring from Bridgepoint (PE-to-PE deal). European leader in multi-channel personal and SME insurance brokerage.,Insurance brokerage carve-out from Bridgepoint portfolio. Exclusive negotiations May 2025.,High,https://www.kirkland.com/news/press-release/2025/05/kirkland-advises-advent-on-exclusive-negotiations-to-acquire-kereis
2026-01-24,Reckitt Benckiser,"Essential Home (Air Wick, Cillit Bang)",PE In Talks,Advent International,['Advent International'],$4.8B (reported),,,Consumer,Global,Very High,"Britain's Reckitt entered exclusive discussions with private equity firm Advent International regarding the sale of its Essential Home business in June 2025. The deal for the business unit, which makes Air Wick fresheners and Cillit Bang cleaners, could reportedly be announced in the coming weeks.",Major consumer brands carve-out. Deal size reported at $4.8B. Exclusive talks entered June 2025.,Large-scale consumer brands divestiture. Previously excluded from dataset due to unknown buyer - now confirmed as Advent in exclusive talks.,High,https://www.investing.com/news/stock-market-news/us-private-equity-firm-advent-in-exclusive-talks-for-reckitts-home-unit-4091471
2026-01-24,Albany International Corp,Structures Assembly Business,Strategic Review,,[],$130M revenue,,,Industrials,US,Medium,"Albany International Corp. announced on October 28, 2025 that it is exploring strategic alternatives for its structures assembly business, including a potential sale of all or a part of the business at the Amelia Earhart Drive Facility in Salt Lake City.","Exiting business would enable company to focus on higher-margin, advanced technology component opportunities in AEC segment","Aerospace structures assembly - CH-53K program. Site generated $130M revenue for trailing 12 months ended Sept 30, 2025. Announced Oct 28, 2025.",High,https://www.businesswire.com/news/home/20251028201168/en/
